stop,stop_name,stop_lat,stop_lon,geometry
ISLAS FILIPINAS,ISLAS FILIPINAS,40.43907,-3.71373,POINT (439467.9719710555 4476736.105289204)
LA ALMUDENA,LA ALMUDENA,40.42361,-3.63914,POINT (445781.6405434466 4474971.60460278)
LA ELIPA,LA ELIPA,40.42662,-3.65052,POINT (444818.72642867523 4475312.7585913185)
LA GAVIA,LA GAVIA,40.37019,-3.61346,POINT (447918.94692419504 4469026.602633587)
LA LATINA,LA LATINA,40.41128,-3.70816,POINT (439915.6479975657 4473647.619522061)
LA PESETA,LA PESETA,40.36422,-3.7569,POINT (435735.51383328193 4468458.271721201)
LACOMA,LACOMA,40.48502,-3.72305,POINT (438719.3005525045 4481843.008103306)
LAGUNA,LAGUNA,40.39923,-3.74429,POINT (436838.88156200526 4472335.265269475)
LAS MUSAS,LAS MUSAS,40.43299,-3.60788,POINT (448440.61213063623 4475994.0664779395)
LAS SUERTES,LAS SUERTES,40.36323,-3.59953,POINT (449096.33656046557 4468245.945896381)
LAS TABLAS,LAS TABLAS,40.50833,-3.66944,POINT (443282.5795640798 4484394.591897171)
LAVAPIES,LAVAPIES,40.40851,-3.7009,POINT (440529.1946223156 4473335.240565727)
LEGAZPI,LEGAZPI,40.39116,-3.69511,POINT (441005.33193535765 4471405.52398576)
LISTA,LISTA,40.42917,-3.67541,POINT (442709.5455799086 4475611.650863043)
LUCERO,LUCERO,40.4051,-3.74534,POINT (436755.2708224921 4472987.582949673)
MANOTERAS,MANOTERAS,40.47687,-3.6629,POINT (443810.4396945438 4480898.31941137)
MANUEL BECERRA,MANUEL BECERRA,40.4279,-3.66926,POINT (443230.1443625962 4475466.711260027)
