stop1,stop2,transporte1,transporte2
ARGÜELLES,ISLAS FILIPINAS,urban,urban
ARGÜELLES,MONCLOA,urban,urban
ARGÜELLES,QUEVEDO,urban,urban
ARGÜELLES,SAN BERNARDO,urban,urban
ARGÜELLES,VENTURA RODRIGUEZ,urban,urban
ARROYOFRESNO,CIUDAD UNIVERSITARIA,urban,urban
ARROYOFRESNO,LACOMA,urban,urban
ARROYOFRESNO,MIRASIERRA,urban,urban
ARROYOFRESNO,PACO DE LUCIA,urban,urban
ARROYOFRESNO,PITIS,urban,urban
ARTILLEROS,PAVONES,urban,urban
ARTILLEROS,VINATEROS,urban,urban
ARTURO SORIA,AVENIDA DE LA PAZ,urban,urban
ARTURO SORIA,BARRIO DE LA CONCEPCION,urban,urban
ARTURO SORIA,CIUDAD LINEAL,urban,urban
ARTURO SORIA,COLOMBIA,urban,urban
ARTURO SORIA,ESPERANZA,urban,urban
ARTURO SORIA,PINAR DEL REY,urban,urban
ARTURO SORIA,PIO XII,urban,urban
ASCAO,GARCIA NOBLEJAS,urban,urban
ASCAO,LA ALMUDENA,urban,urban
ASCAO,LA ELIPA,urban,urban
ASCAO,PUEBLO NUEVO,urban,urban
ATOCHA,BANCO DE ESPAÑA,urban,urban
ATOCHA,ESTACION DEL ARTE,urban,urban
ATOCHA,MENDEZ ALVARO,urban,urban
ATOCHA,MENENDEZ PELAYO,urban,urban
ATOCHA,PALOS DE LA FRONTERA,urban,urban
ATOCHA,RETIRO,urban,urban
AVENIDA DE AMERICA,CANILLEJAS,urban,urban
AVENIDA DE AMERICA,CARTAGENA,urban,urban
AVENIDA DE AMERICA,CRUZ DEL RAYO,urban,urban
AVENIDA DE AMERICA,DIEGO DE LEON,urban,urban
AVENIDA DE AMERICA,GREGORIO MARAÑON,urban,urban
AVENIDA DE AMERICA,NUÑEZ DE BALBOA,urban,urban
AVENIDA DE AMERICA,PARQUE DE LAS AVENIDAS,urban,urban
AVENIDA DE AMERICA,REPUBLICA ARGENTINA,urban,urban
AVENIDA DE AMERICA,RUBEN DARIO,urban,urban
AVENIDA DE GUADALAJARA,LAS ROSAS,urban,urban
AVENIDA DE GUADALAJARA,SAN BLAS,urban,urban
AVENIDA DE GUADALAJARA,VICALVARO,urban,urban
AVENIDA DE LA ILUSTRACION,CIUDAD UNIVERSITARIA,urban,urban
AVENIDA DE LA ILUSTRACION,HERRERA ORIA,urban,urban
AVENIDA DE LA ILUSTRACION,LACOMA,urban,urban
AVENIDA DE LA ILUSTRACION,MIRASIERRA,urban,urban
AVENIDA DE LA ILUSTRACION,PEÑAGRANDE,urban,urban
AVENIDA DE LA ILUSTRACION,VALDEZARZA,urban,urban
AVENIDA DE LA PAZ,BARRIO DE LA CONCEPCION,urban,urban
AVENIDA DE LA PAZ,COLOMBIA,urban,urban
